Frequency (Hz)	Level (dB)
46.875000	-61.101463
93.750000	-63.824043
140.625000	-65.464561
187.500000	-67.910378
234.375000	-69.267395
281.250000	-71.754517
328.125000	-72.796738
375.000000	-71.544228
421.875000	-71.111252
468.750000	-72.559235
515.625000	-73.895683
562.500000	-74.088913
609.375000	-74.118149
656.250000	-74.177277
703.125000	-73.415543
750.000000	-72.749725
796.875000	-72.186874
843.750000	-70.475098
890.625000	-62.522804
937.500000	-42.882465
984.375000	-32.014698
1031.250000	-33.940662
1078.125000	-51.886799
1125.000000	-66.155022
1171.875000	-72.257401
1218.750000	-74.141472
1265.625000	-74.173248
1312.500000	-73.810112
1359.375000	-74.108414
1406.250000	-74.676018
1453.125000	-74.816917
1500.000000	-74.949219
1546.875000	-74.571152
1593.750000	-73.907372
1640.625000	-74.230331
1687.500000	-75.782448
1734.375000	-76.105301
1781.250000	-75.506836
1828.125000	-76.299141
1875.000000	-76.505997
1921.875000	-76.022820
1968.750000	-75.546066
2015.625000	-75.330772
2062.500000	-75.822250
2109.375000	-76.573708
2156.250000	-76.864410
2203.125000	-77.359901
2250.000000	-77.196831
2296.875000	-76.848328
2343.750000	-77.447678
2390.625000	-77.923416
2437.500000	-77.899719
2484.375000	-78.209404
2531.250000	-78.643295
2578.125000	-78.647446
2625.000000	-77.981125
2671.875000	-77.842567
2718.750000	-78.338432
2765.625000	-78.608818
2812.500000	-78.480415
2859.375000	-78.533325
2906.250000	-78.164619
2953.125000	-60.110157
3000.000000	-54.144119
3046.875000	-60.105450
3093.750000	-78.842613
3140.625000	-78.983200
3187.500000	-79.281921
3234.375000	-79.128654
3281.250000	-79.278595
3328.125000	-79.339211
3375.000000	-79.431664
3421.875000	-79.408356
3468.750000	-79.187233
3515.625000	-78.756454
3562.500000	-78.821785
3609.375000	-79.271454
3656.250000	-79.672371
3703.125000	-79.912537
3750.000000	-79.833687
3796.875000	-80.127083
3843.750000	-79.982613
3890.625000	-80.072632
3937.500000	-78.849442
3984.375000	-78.407188
4031.250000	-78.453941
4078.125000	-78.962982
4125.000000	-79.624931
4171.875000	-79.944633
4218.750000	-79.992935
4265.625000	-79.872772
4312.500000	-79.634865
4359.375000	-79.985840
4406.250000	-80.649704
4453.125000	-80.528152
4500.000000	-80.375816
4546.875000	-80.482330
4593.750000	-80.702438
4640.625000	-81.227882
4687.500000	-80.399986
4734.375000	-80.097984
4781.250000	-80.586082
4828.125000	-81.910469
4875.000000	-82.016220
4921.875000	-81.080009
4968.750000	-72.737091
5015.625000	-71.036697
5062.500000	-79.269600
5109.375000	-82.604721
5156.250000	-82.692398
5203.125000	-82.498009
